Phishing Domain,Legit Domain,Levenshtein,Jaccard
77caib.com,gmail.com,4,0.15384615384615385
77caib.com,rfihub.com,5,0.23076923076923078
77caib.com,a2z.com,5,0.18181818181818182
s3.us-east-1.amazonaws.com,us-west-2.amazonaws.com,6,0.45161290322580644
s3.us-east-1.amazonaws.com,iot.us-west-2.amazonaws.com,6,0.4411764705882353
tvsps.ru.com,temu.com,6,0.23076923076923078
tvsps.ru.com,turn.com,6,0.14285714285714285
tvsps.ru.com,tapad.com,6,0.13333333333333333
flndmy.pro,sentry.io,6,0.0
flndmy.pro,pendo.io,6,0.0
pa607.com,rapid7.com,4,0.25
pa607.com,a2z.com,4,0.2
pa607.com,agkn.com,4,0.18181818181818182
itsssl.com,dell.com,5,0.2727272727272727
itsssl.com,gmail.com,5,0.25
itsssl.com,msn.com,5,0.18181818181818182
abramge.com.br,braze.com,6,0.26666666666666666
840hg.com,bing.com,4,0.3
840hg.com,yimg.com,4,0.3
840hg.com,ytimg.com,4,0.2727272727272727
ripd.nz,live.net,5,0.0
ripd.nz,bidr.io,5,0.0
ripd.nz,stripe.com,6,0.08333333333333333
in.mt,sfx.ms,4,0.0
in.mt,svc.ms,4,0.0
in.mt,bing.com,5,0.0
cnbpho.com,cisco.com,4,0.25
cnbpho.com,criteo.com,4,0.23076923076923078
cnbpho.com,pippio.com,4,0.23076923076923078
10vendor.com,opendns.com,5,0.1875
10vendor.com,clever.com,6,0.2
10vendor.com,windows.com,6,0.1875
vaibino.com,bing.com,4,0.25
vaibino.com,c.bing.com,4,0.21428571428571427
vaibino.com,r.bing.com,4,0.21428571428571427
pagina.pro,agkn.com,6,0.0
u.to,1rx.io,4,0.0
u.to,msn.com,5,0.0
u.to,sfx.ms,5,0.0
fxcp28.com,a2z.com,5,0.18181818181818182
fxcp28.com,gvt2.com,5,0.16666666666666666
fxcp28.com,wbx2.com,5,0.16666666666666666
skiil.cn,gmail.com,5,0.18181818181818182
skiil.cn,skype.com,5,0.0
skiil.cn,dell.com,6,0.09090909090909091
www.amazonr.cyou,www.amazon.com,3,0.4444444444444444
www.amazonr.cyou,api.amazon.com,6,0.23809523809523808
cpds888.com,cisco.com,5,0.14285714285714285
cpds888.com,c.msn.com,5,0.14285714285714285
cpds888.com,msn.com,6,0.16666666666666666
lerngo.com,e2ro.com,4,0.2727272727272727
lerngo.com,bing.com,4,0.16666666666666666
lerngo.com,turn.com,4,0.16666666666666666
